variable,label,level,PCS,No PCS,p_value,P,FDR,fdr_value
age,Age,,64.00 (48.25-72.00),59.00 (49.00-67.00),0.05594221345780807,0.056,0.167,0.16693606202195094
sex,Sex,female,32 (45.7%),133 (55.2%),0.17547869945061018,0.175,0.312,0.3119745276429483
sex,Sex,male,38 (54.3%),108 (44.8%),0.17547869945061018,0.175,0.312,0.3119745276429483
occupation,Occupation,manual_labor,15 (21.4%),67 (27.8%),0.18272793761944114,0.183,0.312,0.3119745276429483
occupation,Occupation,mental_labor,14 (20.0%),63 (26.1%),0.18272793761944114,0.183,0.312,0.3119745276429483
occupation,Occupation,unemployed,41 (58.6%),111 (46.1%),0.18272793761944114,0.183,0.312,0.3119745276429483
height_cm,Height,,165.00 (157.25-170.00),164.00 (158.00-170.00),0.6592116998400834,0.659,0.720,0.719974304433783
weight_kg,Weight,,60.00 (55.00-70.00),64.50 (57.00-71.00),0.14739827413124362,0.147,0.299,0.2989774622482261
bmi,BMI,,22.88 (20.80-24.91),24.03 (21.72-26.12),0.03657206547982823,0.037,0.116,0.11636566289036254
education_level,Education level,college_or_above,5 (7.1%),30 (12.4%),0.21820156913628808,0.218,0.339,0.33942466310089253
education_level,Education level,high_school,5 (7.1%),28 (11.6%),0.21820156913628808,0.218,0.339,0.33942466310089253
education_level,Education level,junior_high_or_below,60 (85.7%),183 (75.9%),0.21820156913628808,0.218,0.339,0.33942466310089253
smoking,Smoking,0,57 (81.4%),217 (90.0%),0.05962002215069677,0.060,0.167,0.16693606202195094
smoking,Smoking,1,13 (18.6%),24 (10.0%),0.05962002215069677,0.060,0.167,0.16693606202195094
alcohol_use,Alcohol use,0,63 (90.0%),223 (92.5%),0.4628388211440936,0.463,0.616,0.6157494966600252
alcohol_use,Alcohol use,1,7 (10.0%),18 (7.5%),0.4628388211440936,0.463,0.616,0.6157494966600252
symptom_duration,Symptom duration,long,1 (1.4%),27 (11.2%),1.2511651440027546e-05,<0.001,<0.001,7.298463340016068e-05
