variable,term,label,OR,CI_low,CI_high,p_value,note,fdr_value,OR (95% CI),P,FDR
ggt,ggt,GGT,12.902761980151457,6.878210800141931,24.204153020870873,1.6134377325485688e-15,,7.583157342978273e-14,12.90 (6.88-24.20),<0.001,<0.001
alp,alp,ALP,6.281377401108779,3.8174196766458595,10.335699345959119,4.7616139116607e-13,,1.1189792692402645e-11,6.28 (3.82-10.34),<0.001,<0.001
alt,alt,ALT,20.304143742953954,8.243067905062533,50.01272073487897,5.901038978633434e-11,,9.244961066525714e-10,20.30 (8.24-50.01),<0.001,<0.001
total_bilirubin,total_bilirubin,Total bilirubin,5.515823858640402,3.1189300357598806,9.754727579881177,4.348435427095488e-09,,5.1094116268371985e-08,5.52 (3.12-9.75),<0.001,<0.001
ast,ast,AST,45.44687173896649,12.285564202313765,168.11748462224364,1.0756043609106838e-08,,1.0110680992560428e-07,45.45 (12.29-168.12),<0.001,<0.001
total_bile_acid,total_bile_acid,Total bile acid,54.17011683184328,7.658884910746179,383.1369176808353,6.342766415745084e-05,,0.0004968500359000316,54.17 (7.66-383.14),<0.001,<0.001
ca199,ca199,CA19-9,426.99987479993086,19.28033832804445,9456.72684664189,0.00012698906771989356,,0.0008526408832621426,427.00 (19.28-9456.73),<0.001,<0.001
pain_frequency,pain_frequency_monthly,Pain frequency,0.2439393939393938,0.10317731943962523,0.57673942527979,0.0013109386918709282,,0.007701764814741703,0.24 (0.10-0.58),0.001,0.008
pain_frequency,pain_frequency_none,Pain frequency,0.2395833333333332,0.09570433788686393,0.5997656415424574,0.0022742764664161474,,0.011876777102395437,0.24 (0.10-0.60),0.002,0.012
symptom_duration,symptom_duration_very_short,Symptom duration,15.86250000000004,2.087119000614913,120.55800659946492,0.007562484411109959,,0.035543676732216804,15.86 (2.09-120.56),0.008,0.036
total_cholesterol,total_cholesterol,Total cholesterol,0.7179764661544826,0.5402863547643858,0.9541055431179263,0.022382810705864533,,0.09563564574323936,0.72 (0.54-0.95),0.022,0.096
