model,fold,AUC,Average precision,Accuracy,Sensitivity,Specificity,Precision,F1,Brier score
Logistic Regression,1,0.892128279883382,0.8503360674413305,0.873015873015873,0.7857142857142857,0.8979591836734694,0.6875,0.7333333333333333,0.10384653619444113
Logistic Regression,2,0.8229166666666667,0.7561974355876483,0.8064516129032258,0.6428571428571429,0.8541666666666666,0.5625,0.6,0.13709673314578047
Logistic Regression,3,0.7946428571428571,0.7918909840358908,0.8709677419354839,0.7142857142857143,0.9166666666666666,0.7142857142857143,0.7142857142857143,0.10613712093365628
Logistic Regression,4,0.9047619047619049,0.8812173290368777,0.8709677419354839,0.7857142857142857,0.8958333333333334,0.6875,0.7333333333333333,0.10139121978962769
Logistic Regression,5,0.8273809523809523,0.8124778375321144,0.9032258064516129,0.7857142857142857,0.9375,0.7857142857142857,0.7857142857142857,0.1014555916052116
Random Forest,1,0.9052478134110787,0.7574778396206967,0.873015873015873,0.6428571428571429,0.9387755102040817,0.75,0.6923076923076923,0.10074467483922189
Random Forest,2,0.9464285714285714,0.8917768720391381,0.8870967741935484,0.7142857142857143,0.9375,0.7692307692307693,0.7407407407407407,0.08058740787094229
Random Forest,3,0.8645833333333334,0.8201386682221921,0.9032258064516129,0.7142857142857143,0.9583333333333334,0.8333333333333334,0.7692307692307693,0.09254646787506028
Random Forest,4,0.9717261904761905,0.9068016309087736,0.9354838709677419,0.9285714285714286,0.9375,0.8125,0.8666666666666667,0.07457086566216599
Random Forest,5,0.9196428571428572,0.8505563658309652,0.8709677419354839,0.5714285714285714,0.9583333333333334,0.8,0.6666666666666666,0.09239668036191986
Gradient Boosting,1,0.8943148688046647,0.7789523180586577,0.873015873015873,0.7142857142857143,0.9183673469387755,0.7142857142857143,0.7142857142857143,0.11178037299143295
Gradient Boosting,2,0.9270833333333333,0.8941249226963512,0.9354838709677419,0.7142857142857143,1.0,1.0,0.8333333333333334,0.05800350672184984
Gradient Boosting,3,0.8675595238095237,0.8376259540728536,0.9193548387096774,0.7142857142857143,0.9791666666666666,0.9090909090909091,0.8,0.06952445403499236
