model,AUC mean,AUC sd,Average precision mean,Average precision sd,Accuracy mean,Accuracy sd,Sensitivity mean,Sensitivity sd,Specificity mean,Specificity sd,Precision mean,Precision sd,F1 mean,F1 sd,Brier score mean,Brier score sd,OOF AUC,OOF average precision,OOF Brier score,OOF TN,OOF FP,OOF FN,OOF TP
Random Forest,0.9215257531584061,0.040777414275709974,0.845350275324353,0.05982472618660738,0.8939580133128521,0.026572971531768352,0.7142857142857142,0.1336306209562122,0.9460884353741497,0.011190133723023007,0.7930128205128206,0.033429041593018266,0.747122507122507,0.07793926235113571,0.08816921932186206,0.010459121621128683,0.9167160640189685,0.8423597225847882,0.08820965487014941,228,13,20,50
Weighted Soft Voting Ensemble,0.9194484936831875,0.04693638752251705,0.8550589280551095,0.061506207560413834,0.9004096262160779,0.023311553629612333,0.7285714285714285,0.11736911946539273,0.9502551020408163,0.011070762386302335,0.8094696969696971,0.034498822194132514,0.7634871794871796,0.0664635960428569,0.08333353663299525,0.010691503872039274,0.9148784825133374,0.8516515486301728,0.08337667493737058,229,12,19,51
Stacking Ensemble,0.9025510204081633,0.04426661588432256,0.8329691304798326,0.041030373709655975,0.8844342037890425,0.03560956923227209,0.7857142857142858,0.12371791482634838,0.9130952380952382,0.03610893068595978,0.7298506447113258,0.0811266337968914,0.7521683812006392,0.07435369696742616,0.10639018967889029,0.013603006450056254,0.9039122703023118,0.8402477430016286,0.10646756908312778,220,21,15,55
Soft Voting Ensemble,0.8984390184645287,0.05618710834558166,0.8433989836973563,0.06342221083432939,0.8971838197644649,0.017680521950135104,0.7142857142857143,0.05050762722761051,0.9503401360544217,0.023161819932528718,0.8121212121212121,0.07099105148100526,0.7578461538461537,0.0387718720288394,0.080125096472959,0.011594553410012925,0.8969768820391226,0.8423243719943517,0.08017308181375768,229,12,20,50
Gradient Boosting,0.8989522594752186,0.040111874644451886,0.8302993123646717,0.04215137621583544,0.9004096262160779,0.02595190500555084,0.7285714285714285,0.07824607964359513,0.9503401360544217,0.042878353932027484,0.8294881588999237,0.12657874786624077,0.7683625192012288,0.05128199458632479,0.08134831491004504,0.020194599524993646,0.8945465323058684,0.8269547776066588,0.08144616718683408,229,12,19,51
XGBoost,0.8886965500485908,0.055609255983242026,0.7990142675621082,0.0801999610695776,0.8908346134152586,0.02770754995161028,0.7571428571428571,0.10832679205787929,0.9295918367346939,0.031044112128072742,0.7634920634920636,0.08140242161878149,0.7559065934065934,0.06562499101500216,0.09140208431628424,0.01649452324920299,0.889330171902786,0.7993158310077941,0.09149040673111851,224,17,17,53
Hard Voting Ensemble,0.8765245383867832,0.053856708446140635,0.7507026055640535,0.07759891072161156,0.9035842293906811,0.010782515380997367,0.7285714285714285,0.03194382824999698,0.9544217687074831,0.017132296343453403,0.8261405261405261,0.0544454780692777,0.772983312983313,0.022134394491838943,0.08558320532514081,0.017163299348488464,0.8772080616478957,0.7498332211303969,0.08565916398713827,230,11,19,51
SVM,0.8553996598639456,0.06019505810292742,0.7952020108942011,0.07686890301544881,0.8971326164874552,0.02916250266209029,0.6571428571428573,0.09313146293146642,0.966921768707483,0.02762198752407132,0.8606643356643356,0.10316463044623775,0.7405490805490805,0.07956947348307573,0.08867252111981734,0.01986297918699684,0.8564908120924719,0.7990972811931079,0.08867729298871248,233,8,24,46
Gaussian NB,0.8569302721088435,0.06537547159746271,0.728578403993143,0.044989530944596366,0.5109062980030722,0.146985024545972,0.9,0.06388765649999402,0.3977891156462585,0.17855057377411832,0.3122130798874985,0.0649151441529103,0.46169731233454475,0.08019052505719675,0.4590585176943037,0.1524192575971076,0.8528156490812092,0.7157284795749408,0.4586957091699086,96,145,7,63
Logistic Regression,0.8483661321671526,0.04761788551466705,0.8184239307267724,0.04892056143049755,0.8649257552483359,0.035442137551641155,0.7428571428571428,0.06388765649999396,0.9004251700680271,0.03084373687103363,0.6875,0.08060477716637406,0.7133333333333333,0.06871017708734384,0.10998544033374343,0.015281826218331847,0.8487255483106104,0.8172910647252214,0.10996570109213795,217,24,18,52
