model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_ovr_auc,log_loss
Multinomial Logistic,1,0.2857142857142857,0.2833333333333334,0.2833333333333334,0.2857142857142857,0.4324074074074074,2.5842404235634087
Multinomial Logistic,2,0.5,0.48333333333333334,0.4777777777777778,0.4880952380952381,0.700925925925926,1.9172828764396415
Multinomial Logistic,3,0.42857142857142855,0.43333333333333335,0.43333333333333335,0.43571428571428567,0.625925925925926,1.7914281349188639
Multinomial Logistic,4,0.42857142857142855,0.3666666666666667,0.3666666666666667,0.42857142857142855,0.5439814814814814,2.1663298156342603
Multinomial Logistic,5,0.3076923076923077,0.31666666666666665,0.30264550264550266,0.29645909645909646,0.47222222222222227,1.8842811663226686
Random Forest,1,0.35714285714285715,0.35000000000000003,0.36296296296296293,0.37301587301587297,0.48888888888888893,1.151367492078423
Random Forest,2,0.5,0.4666666666666666,0.404040404040404,0.4329004329004329,0.5796296296296296,1.1062251954727775
Random Forest,3,0.5714285714285714,0.5666666666666668,0.5888888888888889,0.5833333333333333,0.6583333333333333,1.0488737535675028
Random Forest,4,0.21428571428571427,0.17777777777777778,0.1619047619047619,0.19387755102040818,0.4773989898989899,1.1114470069246785
Random Forest,5,0.3076923076923077,0.3,0.26666666666666666,0.27692307692307694,0.561111111111111,1.1043003966967986
Gradient Boosting,1,0.42857142857142855,0.4000000000000001,0.3636363636363636,0.38961038961038963,0.5,1.981017625336568
Gradient Boosting,2,0.5,0.48333333333333334,0.4777777777777778,0.4880952380952381,0.6925925925925925,1.0232571847553422
Gradient Boosting,3,0.21428571428571427,0.21666666666666667,0.1978021978021978,0.19152276295133439,0.537962962962963,1.4823751191202386
Gradient Boosting,4,0.2857142857142857,0.2888888888888889,0.2888888888888889,0.2857142857142857,0.560395622895623,1.3871364936740715
Gradient Boosting,5,0.38461538461538464,0.3666666666666667,0.36700336700336694,0.38073038073038074,0.4981481481481482,1.7086269729268437
SVM,1,0.21428571428571427,0.20000000000000004,0.1619047619047619,0.17346938775510204,0.46574074074074073,1.1298325108145053
SVM,2,0.14285714285714285,0.13333333333333333,0.08888888888888889,0.09523809523809523,0.3490740740740741,1.2247126775206847
SVM,3,0.21428571428571427,0.20000000000000004,0.16296296296296295,0.17460317460317462,0.44722222222222224,1.141756186892197
SVM,4,0.42857142857142855,0.3666666666666667,0.34848484848484845,0.40909090909090906,0.5747053872053872,1.0636703355682011
SVM,5,0.23076923076923078,0.2333333333333333,0.20875420875420878,0.2066822066822067,0.47222222222222215,1.138068729279602
XGBoost,1,0.35714285714285715,0.35000000000000003,0.3437229437229437,0.3478664192949907,0.4981481481481482,1.5561400826808018
XGBoost,2,0.5,0.5,0.5252525252525252,0.5151515151515151,0.612037037037037,1.2341516895452251
XGBoost,3,0.5,0.5,0.5052910052910052,0.5005668934240363,0.6509259259259259,1.0119939891594427
XGBoost,4,0.35714285714285715,0.2888888888888889,0.2611111111111111,0.3178571428571429,0.43522727272727274,1.249939114764884
XGBoost,5,0.23076923076923078,0.21666666666666667,0.19528619528619529,0.20823620823620825,0.4314814814814815,1.6499908684549593
